date,open,close,high,low,volume,money,rt1,year,month,day,rk,rt,rv,rk_twoscale
2010/10/8,1238.99,1261.51,1267.23,1236.51,1937041600,28971465343,0.007822896,2010,10,8,1.41E-04,0.7822896,0.611977018,6.52E-05
2010/10/11,1264.27,1282.3,1282.62,1263.64,2957429700,42877716260,0.007098945,2010,10,11,1.95E-04,0.7098945,0.503950201,9.46E-05
2010/10/12,1278.33,1297.56,1297.78,1274.25,2472996600,35451402673,0.005137807,2010,10,12,8.20E-05,0.5137807,0.263970608,5.33E-05
2010/10/13,1298.47,1323.47,1324.3,1295.04,3147118500,47201828775,0.008586652,2010,10,13,1.89E-04,0.8586652,0.737305926,1.17E-04
2010/10/14,1329.23,1303.97,1333.44,1300.86,3703211500,52021613290,-0.006446501,2010,10,14,3.36E-04,-0.6446501,0.415573751,1.69E-04
2010/10/15,1296.88,1336.64,1336.64,1293.22,3883176600,55732707773,0.010746854,2010,10,15,2.83E-04,1.0746854,1.154948709,1.15E-04
2010/10/18,1343.16,1331.69,1353.98,1312.25,4088133100,58405855172,-0.001611315,2010,10,18,4.92E-04,-0.1611315,0.02596336,3.41E-04
2010/10/19,1329.04,1366.3,1366.33,1320.27,2579821200,37413417390,0.01114293,2010,10,19,2.23E-04,1.114293,1.24164889,1.01E-04
2010/10/20,1339.17,1375.19,1386.79,1337.36,3605933200,57555111854,0.002816637,2010,10,20,2.99E-04,0.2816637,0.07933444,1.27E-04
2010/10/21,1378.6,1370.63,1387.82,1358.91,2552795100,41802278446,-0.001442472,2010,10,21,2.28E-04,-0.1442472,0.020807255,1.03E-04
2010/10/22,1372.06,1385.44,1392.91,1364.47,2275004500,35459605048,0.004667489,2010,10,22,1.11E-04,0.4667489,0.217854536,7.12E-05
2010/10/25,1393.93,1419.53,1419.53,1392.52,2991614300,48143209720,0.010556853,2010,10,25,6.78E-05,1.0556853,1.114471453,2.65E-05
2010/10/26,1421.75,1426.9,1429.23,1408.85,2723582500,44154444535,0.002248963,2010,10,26,1.76E-04,0.2248963,0.050578346,9.14E-05
2010/10/27,1425.24,1407.11,1441.24,1403.06,2589115200,44384777447,-0.006065488,2010,10,27,2.82E-04,-0.6065488,0.367901447,1.32E-04
2010/10/28,1404.04,1396.33,1414.64,1387.46,2011308800,33555454593,-0.003339981,2010,10,28,1.33E-04,-0.3339981,0.111554731,6.93E-05
2010/10/29,1397.26,1396.54,1404.5,1380.08,2072573600,33210182278,6.53E-05,2010,10,29,1.50E-04,0.00653105,4.27E-05,6.33E-05
2010/11/1,1400.21,1430.35,1430.36,1400.21,2542665800,38609837939,0.010388941,2010,11,1,7.34E-05,1.0388941,1.079300951,3.72E-05
2010/11/2,1434.26,1422.04,1440.75,1420.73,2846544100,47512259638,-0.002530508,2010,11,2,1.30E-04,-0.2530508,0.064034707,8.15E-05
2010/11/3,1420.04,1404.61,1425.79,1403.88,2593542400,40064806882,-0.005356057,2010,11,3,1.44E-04,-0.5356057,0.286873466,1.12E-04
