year,month,day,sentiment_index,sum,yqcfg,sscfg
2011,2,1,0.14169290,1,13,18
2011,2,2,0.38675089,1,6,18
2011,2,3,0.03283038,1,6,18
2011,2,4,0.43500836,1,2,18
2011,2,5,0.21633839,1,8,18
2011,2,6,0.39140751,1,9,18
2011,2,7,0.40576370,1,7,18
2011,2,8,0.07076598,1,11,18
2011,2,9,0.08586251,1,15,18
2011,2,10,0.26392055,1,14,18
2011,2,11,0.25443495,1,15,18
2011,2,12,0.30582529,1,13,18
2011,2,13,0.57635171,1,9,18
2011,2,14,0.09286844,1,18,18
2011,2,15,0.03485266,1,17,18
2011,2,16,0.14649530,1,16,18
2011,2,17,0.27661888,1,16,18
2011,2,18,0.06549918,1,18,18
2011,2,19,0.48398879,1,11,18
2011,2,20,0.46656590,1,11,18
2011,2,21,0.25480918,1,14,18
2011,2,22,0.32686502,1,18,18
2011,2,23,0.21508505,1,17,18
2011,2,24,0.07739328,1,16,18
2011,2,25,0.39036965,1,17,18
2011,2,26,0.53689924,1,8,18
2011,2,27,0.51485988,1,16,18
2011,2,28,0.05633272,1,15,18
2011,3,1,0.32255354,1,18,18
2011,3,2,0.14968815,1,15,18
2011,3,3,0.1127245,1,17,18
2011,3,4,-0.0041026,1,16,18
2011,3,5,0.21715598,1,13,18
2011,3,6,0.44319355,1,12,18
2011,3,7,0.09068421,1,18,18
2011,3,8,0.13289610,1,15,18
2011,3,9,0.15751909,1,18,18
2011,3,10,-0.0134078,1,16,18
2011,3,11,0.31939677,1,17,18
2011,3,12,0.36955203,1,13,18
2011,3,13,-0.1229608,1,12,18
2011,3,14,-0.0153405,1,17,18
2011,3,15,0.11974022,1,18,18
2011,3,16,0.18019784,1,17,18
2011,3,17,0.00776809,1,18,18
2011,3,18,0.20529232,1,16,18
2011,3,19,0.19954859,1,15,18
2011,3,20,0.44257727,1,15,18
2011,3,21,0.05987045,1,18,18
2011,3,22,0.08921300,1,16,18
2011,3,23,0.16650587,1,17,18
2011,3,24,0.03775424,1,17,18
2011,3,25,0.00126647,1,18,18
2011,3,26,0.22690216,1,16,18
2011,3,27,0.45986953,1,12,18
2011,3,28,0.03378279,1,18,18
2011,3,29,-0.0291130,1,18,18
2011,3,30,0.19902710,1,17,18
2011,3,31,0.16627448,1,17,18
2011,4,1,0.12747103,1,17,18
2011,4,2,0.29332706,1,14,18
2011,4,3,0.10366003,1,12,18
2011,4,4,0.45150619,1,12,18
2011,4,5,0.65763954,1,16,18
2011,4,6,0.13951075,1,16,18
2011,4,7,0.28080733,1,17,18
2011,4,8,0.27568940,1,17,18
2011,4,9,0.49608397,1,15,18
2011,4,10,0.59219453,1,16,18
2011,4,11,-0.0112639,1,17,18
2011,4,12,0.18018459,1,18,18
2011,4,13,0.21926110,1,18,18
2011,4,14,0.04514804,1,17,18
2011,4,15,0.26165416,1,17,18
2011,4,16,0.42900778,1,13,18
2011,4,17,0.16627257,1,11,18
2011,4,18,0.10399583,1,17,18
2011,4,19,0.06532189,1,18,18
2011,4,20,0.03350628,1,16,18
2011,4,21,0.16970505,1,17,18
2011,4,22,0.03921499,1,17,18
2011,4,23,0.30599894,1,15,18
2011,4,24,0.43573331,1,13,18
2011,4,25,0.07802710,1,18,18
2011,4,26,0.01521030,1,17,18
2011,4,27,0.04347290,1,17,18
2011,4,28,-0.0123965,1,18,18
2011,4,29,0.10113164,1,17,18
2011,4,30,0.34492667,1,15,18
2011,5,1,0.37207104,1,7,18
2011,5,2,0.17002842,1,11,18
2011,5,3,0.28356775,1,18,18
2011,5,4,-0.0527374,1,18,18
2011,5,5,0.06886531,1,17,18
2011,5,6,0.07311902,1,14,18
2011,5,7,0.40760281,1,13,18
2011,5,8,0.37900431,1,15,18
2011,5,9,0.19776079,1,17,18
2011,5,10,0.09687638,1,16,18
2011,5,11,0.11924204,1,16,18
2011,5,12,0.03940784,1,16,18
2011,5,13,0.01480197,1,17,18
2011,5,14,0.26412985,1,11,18
2011,5,15,0.36232350,1,13,18
2011,5,16,0.12554882,1,17,18
2011,5,17,-0.0116984,1,18,18
2011,5,18,0.13819281,1,18,18
2011,5,19,-0.0069405,1,17,18
2011,5,20,-0.0154475,1,17,18
2011,5,21,0.14816459,1,11,18
2011,5,22,0.11162033,1,13,18
2011,5,23,-0.1281454,1,15,18
2011,5,24,0.07161434,1,16,18
2011,5,25,-0.0062740,1,16,18
2011,5,26,0.11114394,1,18,18
2011,5,27,-0.0479174,1,17,18
2011,5,28,-0.0135912,1,13,18
2011,5,29,0.03591340,1,13,18
2011,5,30,0.03912846,1,17,18
2011,5,31,0.01160221,1,17,18
2011,6,1,0.28438567,1,17,18
2011,6,2,0.10441312,1,17,18
2011,6,3,0.25575930,1,17,18
2011,6,4,0.24002670,1,10,18
2011,6,5,0.34973264,1,9,18
2011,6,6,0.19984318,1,9,18
2011,6,7,0.13699084,1,16,18
2011,6,8,0.18182403,1,18,18
2011,6,9,0.09988670,1,17,18
2011,6,10,0.01676441,1,17,18
2011,6,11,-0.2433704,1,11,18
2011,6,12,0.09456112,1,15,18
2011,6,13,-0.0645180,1,14,18
2011,6,14,0.23912704,1,17,18
2011,6,15,0.18721131,1,17,18
2011,6,16,0.05499023,1,18,18
2011,6,17,0.16906300,1,17,18
2011,6,18,0.21635920,1,15,18
2011,6,19,0.42288548,1,13,18
2011,6,20,0.13677359,1,18,18
2011,6,21,0.17651753,1,18,18
2011,6,22,0.26729269,1,18,18
2011,6,23,0.22516668,1,17,18
2011,6,24,0.01775670,1,16,18
2011,6,25,0.37203768,1,11,18
2011,6,26,0.38322377,1,15,18
2011,6,27,0.11698256,1,18,18
2011,6,28,0.22053371,1,17,18
2011,6,29,0.15827734,1,17,18
2011,6,30,0.09696527,1,17,18
2011,7,1,0.13121804,1,18,18
2011,7,2,0.23863872,1,15,18
2011,7,3,0.47608917,1,15,18
2011,7,4,-0.0148002,1,18,18
2011,7,5,0.15988428,1,18,18
2011,7,6,0.02021863,1,17,18
2011,7,7,0.06075067,1,18,18
2011,7,8,0.15840818,1,17,18
2011,7,9,0.51485332,1,16,18
2011,7,10,0.31640953,1,15,18
2011,7,11,0.15715763,1,16,18
2011,7,12,-0.0035022,1,18,18
2011,7,13,-0.0019205,1,18,18
2011,7,14,0.13530370,1,18,18
2011,7,15,0.04263001,1,17,18
2011,7,16,0.23237866,1,13,18
2011,7,17,0.02739865,1,10,18
2011,7,18,-0.0029854,1,16,18
2011,7,19,-0.1131009,1,18,18
2011,7,20,-0.2107581,1,18,18
2011,7,21,-0.0312480,1,18,18
2011,7,22,0.03865673,1,18,18
2011,7,23,0.25326147,1,12,18
2011,7,24,0.20810660,1,10,18
2011,7,25,-0.2176619,1,16,18
2011,7,26,-0.0462706,1,17,18
2011,7,27,0.12463877,1,17,18
2011,7,28,0.07295164,1,17,18
2011,7,29,0.04149319,1,17,18
2011,7,30,0.02303132,1,13,18
2011,7,31,0.29556289,1,13,18
2011,8,1,0.01998463,1,17,18
2011,8,2,0.08550599,1,17,18
2011,8,3,0.04095573,1,17,18
2011,8,4,0.07534177,1,16,18
2011,8,5,-0.0645031,1,16,18
2011,8,6,0.08321803,1,15,18
2011,8,7,-0.0596807,1,11,18
2011,8,8,-0.1668692,1,18,18
2011,8,9,-0.2375353,1,14,18
2011,8,10,0.04490237,1,15,18
2011,8,11,0.01235256,1,18,18
2011,8,12,0.01321183,1,17,18
2011,8,13,0.42073815,1,11,18
2011,8,14,0.35674238,1,12,18
2011,8,15,0.15673136,1,18,18
2011,8,16,0.07202538,1,17,18
2011,8,17,-0.0572383,1,18,18
2011,8,18,-0.1560825,1,18,18
2011,8,19,-0.0147404,1,16,18
2011,8,20,-0.0763328,1,15,18
2011,8,21,0.53096252,1,13,18
2011,8,22,-0.0020690,1,17,18
2011,8,23,-0.0439320,1,17,18
2011,8,24,-0.0126772,1,18,18
2011,8,25,0.05185023,1,17,18
2011,8,26,-0.0640076,1,17,18
2011,8,27,0.14551895,1,12,18
2011,8,28,0.30176188,1,12,18
2011,8,29,-0.0279985,1,17,18
2011,8,30,0.03649510,1,18,18
2011,8,31,0.00796310,1,18,18
2011,9,1,-0.0399344,1,17,18
2011,9,2,-0.0438063,1,17,18
2011,9,3,0.11789985,1,14,18
2011,9,4,0.07852249,1,13,18
2011,9,5,0.03468896,1,17,18
2011,9,6,0.03909749,1,18,18
2011,9,7,0.02361044,1,14,18
2011,9,8,0.10676598,1,18,18
2011,9,9,0.23683286,1,18,18
2011,9,10,0.19344049,1,12,18
2011,9,11,0.43047554,1,11,18
2011,9,12,0.00611311,1,12,18
2011,9,13,0.05120562,1,17,18
2011,9,14,-0.0222775,1,16,18
2011,9,15,0.17919421,1,18,18
2011,9,16,0.12359133,1,18,18
2011,9,17,0.16479906,1,9,18
2011,9,18,0.04005858,1,15,18
2011,9,19,-0.0409129,1,16,18
2011,9,20,0.06096624,1,16,18
2011,9,21,0.10160497,1,18,18
2011,9,22,-0.1375701,1,17,18
2011,9,23,0.16224387,1,15,18
2011,9,24,0.42511164,1,13,18
2011,9,25,0.19764301,1,12,18
2011,9,26,-0.0977397,1,15,18
2011,9,27,0.00329027,1,16,18
2011,9,28,-0.0014351,1,16,18
2011,9,29,-0.0381253,1,18,18
2011,9,30,0.14408170,1,17,18
2011,10,1,0.21677639,1,10,18
2011,10,2,0.02760918,1,10,18
2011,10,3,-0.2327579,1,10,18
2011,10,4,-0.2055677,1,6,18
2011,10,5,0.42807518,1,8,18
2011,10,6,0.06912555,1,11,18
2011,10,7,0.41079542,1,10,18
2011,10,8,0.12923194,1,9,18
2011,10,9,0.03571467,1,11,18
2011,10,10,0.03052658,1,17,18
2011,10,11,0.17783338,1,15,18
2011,10,12,0.07179289,1,17,18
2011,10,13,0.14559729,1,19,18
2011,10,14,0.01895635,1,18,18
2011,10,15,-0.0043951,1,11,18
2011,10,16,-0.0987345,1,10,18
2011,10,17,0.02825110,1,17,18
2011,10,18,-0.0501642,1,15,18
2011,10,19,0.09381729,1,18,18
2011,10,20,0.01979841,1,17,18
2011,10,21,-0.2098155,1,16,18
2011,10,22,0.09767752,1,8,18
2011,10,23,0.38239278,1,10,18
2011,10,24,0.00176295,1,19,18
2011,10,25,-0.0176755,1,17,18
2011,10,26,-0.0325943,1,18,18
2011,10,27,0.08338290,1,19,18
2011,10,28,0.09614573,1,19,18
2011,10,29,0.34298869,1,12,18
2011,10,30,0.09606408,1,14,18
2011,10,31,0.08158679,1,19,18
2011,11,1,-0.0971327,1,18,18
2011,11,2,0.12552953,1,18,19
2011,11,3,0.19786792,1,19,19
2011,11,4,0.16606923,1,19,19
2011,11,5,0.31233089,1,15,19
2011,11,6,0.41597436,1,15,19
2011,11,7,0.26130995,1,18,19
2011,11,8,0.18881473,1,17,19
2011,11,9,0.19645155,1,19,19
2011,11,10,-0.0652160,1,17,19
2011,11,11,-0.2061980,1,18,19
2011,11,12,0.16276648,1,16,19
2011,11,13,0.23254729,1,13,19
2011,11,14,0.14580650,1,19,19
2011,11,15,0.04844826,1,18,19
2011,11,16,0.04783322,1,18,19
2011,11,17,0.13521013,1,18,19
2011,11,18,-0.1699303,1,19,19
2011,11,19,0.11847189,1,11,19
2011,11,20,0.29163916,1,14,19
2011,11,21,0.34557043,1,17,19
2011,11,22,0.10006766,1,18,19
2011,11,23,-0.0435441,1,19,19
2011,11,24,-0.1485721,1,19,19
2011,11,25,0.29739014,1,18,19
2011,11,26,0.18507901,1,12,19
2011,11,27,0.47124030,1,15,19
2011,11,28,0.17935097,1,19,19
2011,11,29,0.09414762,1,18,19
2011,11,30,0.16401457,1,18,19
2011,12,1,0.17897118,1,18,19
2011,12,2,0.00998741,1,19,19
2011,12,3,-0.0050044,1,13,19
2011,12,4,0.22154607,1,17,19
2011,12,5,-0.2102832,1,17,19
2011,12,6,0.13561237,1,17,19
2011,12,7,-0.0204873,1,18,19
2011,12,8,0.07234621,1,18,19
2011,12,9,0.08175826,1,15,19
2011,12,10,0.26633642,1,8,19
2011,12,11,0.47069090,1,9,19
2011,12,12,0.14975197,1,19,19
2011,12,13,-0.0349294,1,19,19
2011,12,14,0.13282611,1,18,19
