date,year,month,day,open,close,high,low,volume,money,rt,rv,rk,rk2
2011/2/1,2011,2,1,1239.2,1236.02,1242.79,1232.24,387826600,5235922025,-0.1115906,0.01245247,4.20E-05,2.43E-05
2011/2/9,2011,2,9,1224.93,1234,1244.48,1222.15,441982800,6277242112,-0.1826245,0.03335171,0.00020818,0.00010027
2011/2/10,2011,2,10,1229.57,1256.93,1257.62,1223.97,426944600,6451616149,1.11998207,1.25435985,0.00015069,8.80E-05
2011/2/11,2011,2,11,1256.44,1263.06,1268.31,1254.29,457785700,6769409591,1.16707232,1.36205781,7.09E-05,3.99E-05
2011/2/14,2011,2,14,1265.54,1283.56,1287,1265.54,558338500,8587259377,0.92744204,0.86014874,3.14E-05,2.32E-05
2011/2/15,2011,2,15,1285.56,1277.83,1294.48,1277.33,636738700,9643376840,0.41972034,0.17616517,8.97E-05,4.50E-05
2011/2/16,2011,2,16,1275.41,1291.68,1291.99,1272.06,457493200,7382509111,0.20625841,0.04254253,9.58E-05,3.96E-05
2011/2/17,2011,2,17,1293.76,1311.74,1311.84,1290.89,620366600,1013597532,1.21979442,1.48789844,0.00011108,5.22E-05
2011/2/18,2011,2,18,1307.63,1289.98,1307.63,1287.18,485482200,8366646450,-0.1270742,0.01614786,0.00010862,4.43E-05
2011/2/21,2011,2,21,1283.92,1318.88,1319.65,1281.98,529455900,9475856958,0.37204067,0.13841426,0.00014765,6.83E-05
2011/2/22,2011,2,22,1320.71,1288.76,1328.38,1287.92,666499400,1171875364,0.16340841,0.0267023,0.00029303,0.0001381
2011/2/23,2011,2,23,1285.18,1308.33,1308.49,1285.18,504755100,8984108742,-0.4090166,0.1672946,9.11E-05,6.57E-05
2011/2/24,2011,2,24,1307.24,1310.44,1316.75,1299.56,536388400,9968017931,0.84531826,0.71456296,8.27E-05,4.86E-05
2011/2/25,2011,2,25,1310.08,1310.9,1314.4,1296.5,422356000,7423786844,0.12142351,0.01474367,9.36E-05,4.60E-05
2011/2/28,2011,2,28,1312.91,1322.3,1323.28,1303.76,481145300,8075351992,0.40321812,0.16258486,9.43E-05,5.50E-05
2011/3/1,2011,3,1,1325.28,1325.57,1333.25,1316.86,539438400,9236654834,0.41677104,0.1736981,7.54E-05,3.73E-05
2011/3/2,2011,3,2,1319.57,1310.27,1319.57,1292.7,496881500,7964758815,-0.4946846,0.2447129,0.00020961,7.57E-05
2011/3/3,2011,3,3,1312.91,1285.58,1320.9,1283.79,512406600,8281739237,-1.1333326,1.28444278,0.00015905,7.10E-05
2011/3/4,2011,3,4,1285.78,1297.46,1298.27,1278.8,387059200,6168545079,-0.5140978,0.2642966,8.05E-05,3.62E-05
2011/3/7,2011,3,7,1301.31,1316.55,1316.66,1300.14,613810600,9982313535,1.02706912,1.05487099,4.30E-05,2.70E-05
2011/3/8,2011,3,8,1317.73,1321.2,1322.34,1311.5,560539700,8943764133,0.65877978,0.4339908,3.87E-05,2.47E-05
2011/3/9,2011,3,9,1323.24,1323.13,1326.59,1315.42,523604900,8927379208,0.17760831,0.03154471,3.72E-05,3.30E-05
2011/3/10,2011,3,10,1321.4,1309.72,1321.4,1309.19,491349900,8395088530,-0.4460161,0.19893037,4.00E-05,3.46E-05
2011/3/11,2011,3,11,1304.34,1301.71,1318.01,1299.33,492826700,8389068809,-0.6520061,0.42511199,0.00010268,5.41E-05
2011/3/14,2011,3,14,1288.5,1305.79,1308.57,1287.78,536948900,1003870538,0.04825254,0.0023283,0.00010695,6.89E-05
2011/3/15,2011,3,15,1300.81,1303.03,1303.78,1255.68,849315900,1503539974,0.48699918,0.2371682,0.00063811,0.00026804
2011/3/16,2011,3,16,1301.72,1318.68,1319.06,1300.88,746416800,1405857124,0.59255525,0.35112172,6.92E-05,5.49E-05
2011/3/17,2011,3,17,1304.47,1306.17,1336.31,1300.74,1168773400,1930822056,0.14821271,0.02196701,0.00031706,0.00015605
2011/3/18,2011,3,18,1314.66,1316.81,1325.33,1310.3,721526800,1287748047,0.40890202,0.16720086,7.35E-05,5.05E-05
2011/3/21,2011,3,21,1317.03,1299.9,1320.41,1292.9,542351600,9802339254,-0.4903505,0.24044366,0.00012699,5.46E-05
2011/3/22,2011,3,22,1302.52,1289.39,1304.38,1278.23,459711700,7965397204,-0.9211369,0.84849337,0.00013816,5.48E-05
2011/3/23,2011,3,23,1291.75,1311.7,1312.73,1290.29,569341600,9975336083,0.30501179,0.09303219,8.92E-05,3.86E-05
2011/3/24,2011,3,24,1314.95,1311.24,1319.22,1309.08,502993000,9125419801,0.65037189,0.42298359,4.99E-05,2.68E-05
2011/3/25,2011,3,25,1311.86,1318.53,1322.51,1311.21,544542100,9477740561,0.11807761,0.01394232,3.22E-05,2.12E-05
2011/3/28,2011,3,28,1323.27,1309.35,1328.3,1307.66,628665400,1042003324,-0.0831737,0.00691787,4.27E-05,2.95E-05
2011/3/29,2011,3,29,1305.67,1269.7,1305.68,1266.3,920527300,1268227831,-1.7947347,3.22107267,0.00019034,8.38E-05
2011/3/30,2011,3,30,1268.52,1257.99,1273.58,1253.76,488744500,7674187707,-1.6156236,2.61023985,8.27E-05,4.97E-05
2011/3/31,2011,3,31,1260.03,1245.7,1264.08,1239.92,405082000,6511003660,-0.7883854,0.6215516,8.06E-05,4.33E-05
2011/4/1,2011,4,1,1246.84,1259.7,1259.74,1243.35,312471600,5007407436,-0.0113755,0.0001294,3.75E-05,1.98E-05
